filename,method,niqe
0001_0.8_0.2.png,original,20.105252
0001_0.8_0.2.png,dcp,19.306895
0001_0.8_0.2.png,aodnet,19.995729
0002_0.8_0.08.png,original,20.598337
0002_0.8_0.08.png,dcp,20.323156
0002_0.8_0.08.png,aodnet,20.779959
0003_0.8_0.2.png,original,20.690432
0003_0.8_0.2.png,dcp,20.341597
0003_0.8_0.2.png,aodnet,20.609331
0004_0.9_0.12.png,original,19.859149
0004_0.9_0.12.png,dcp,19.336592
0004_0.9_0.12.png,aodnet,19.682306
0006_0.85_0.08.png,original,20.289801
0006_0.85_0.08.png,dcp,19.930599
0006_0.85_0.08.png,aodnet,20.255919
0007_0.9_0.16.png,original,20.536448
0007_0.9_0.16.png,dcp,20.455700
0007_0.9_0.16.png,aodnet,20.628301
0009_0.8_0.16.png,original,20.798521
0009_0.8_0.16.png,dcp,20.753342
0009_0.8_0.16.png,aodnet,20.740999
0010_0.95_0.16.png,original,21.010957
0010_0.95_0.16.png,dcp,21.207281
0010_0.95_0.16.png,aodnet,21.276930
0011_0.95_0.16.png,original,20.731632
0011_0.95_0.16.png,dcp,20.587773
0011_0.95_0.16.png,aodnet,20.759418
0014_0.8_0.12.png,original,20.427423
0014_0.8_0.12.png,dcp,20.142830
0014_0.8_0.12.png,aodnet,20.509021
0016_0.8_0.08.png,original,19.894357
0016_0.8_0.08.png,dcp,19.257600
0016_0.8_0.08.png,aodnet,19.708997
0017_0.9_0.08.png,original,20.351384
0017_0.9_0.08.png,dcp,20.025374
0017_0.9_0.08.png,aodnet,20.514557
0018_0.9_0.2.png,original,20.249663
0018_0.9_0.2.png,dcp,19.833007
0018_0.9_0.2.png,aodnet,20.133026
0019_0.8_0.16.png,original,20.975261
0019_0.8_0.16.png,dcp,20.397728
0019_0.8_0.16.png,aodnet,21.175696
0021_0.8_0.08.png,original,20.374990
0021_0.8_0.08.png,dcp,20.016991
0021_0.8_0.08.png,aodnet,20.379693
0022_0.8_0.08.png,original,20.202785
0022_0.8_0.08.png,dcp,19.811325
0022_0.8_0.08.png,aodnet,20.234826
0023_0.85_0.12.png,original,20.644979
0023_0.85_0.12.png,dcp,20.421183
0023_0.85_0.12.png,aodnet,20.566634
0024_0.85_0.08.png,original,20.787853
0024_0.85_0.08.png,dcp,20.509726
0024_0.85_0.08.png,aodnet,20.884322
0025_0.8_0.16.png,original,20.391026
0025_0.8_0.16.png,dcp,20.028931
0025_0.8_0.16.png,aodnet,20.486282
0026_0.95_0.08.png,original,20.418590
0026_0.95_0.08.png,dcp,20.187399
0026_0.95_0.08.png,aodnet,20.516001
0029_0.85_0.08.png,original,20.258884
0029_0.85_0.08.png,dcp,20.075550
0029_0.85_0.08.png,aodnet,20.435313
0030_0.95_0.12.png,original,20.323141
0030_0.95_0.12.png,dcp,20.087965
0030_0.95_0.12.png,aodnet,20.452376
0033_0.85_0.08.png,original,20.027051
0033_0.85_0.08.png,dcp,19.838683
0033_0.85_0.08.png,aodnet,20.146111
0034_0.9_0.16.png,original,20.499107
0034_0.9_0.16.png,dcp,20.420216
0034_0.9_0.16.png,aodnet,20.672443
0036_1_0.08.png,original,20.861264
0036_1_0.08.png,dcp,20.382238
0036_1_0.08.png,aodnet,20.780509
0039_0.9_0.2.png,original,19.675849
0039_0.9_0.2.png,dcp,19.307574
0039_0.9_0.2.png,aodnet,19.797254
0040_1_0.08.png,original,20.049699
0040_1_0.08.png,dcp,20.004246
0040_1_0.08.png,aodnet,20.047197
0042_0.8_0.2.png,original,20.376424
0042_0.8_0.2.png,dcp,19.938719
0042_0.8_0.2.png,aodnet,20.360441
0045_0.8_0.16.png,original,20.374346
0045_0.8_0.16.png,dcp,20.445620
0045_0.8_0.16.png,aodnet,20.441993
0046_0.9_0.16.png,original,20.268514
0046_0.9_0.16.png,dcp,20.276269
0046_0.9_0.16.png,aodnet,20.496059
0047_0.9_0.12.png,original,20.491420
0047_0.9_0.12.png,dcp,20.444881
0047_0.9_0.12.png,aodnet,20.676616
0048_0.9_0.2.png,original,20.493369
0048_0.9_0.2.png,dcp,20.116319
0048_0.9_0.2.png,aodnet,20.329292
0049_0.85_0.12.png,original,20.130527
0049_0.85_0.12.png,dcp,19.775110
0049_0.85_0.12.png,aodnet,20.187560
0051_0.8_0.2.png,original,20.316424
0051_0.8_0.2.png,dcp,20.115757
0051_0.8_0.2.png,aodnet,20.366652
0051_0.95_0.12.png,original,20.190132
0051_0.95_0.12.png,dcp,20.017315
0051_0.95_0.12.png,aodnet,20.282301
0052_0.9_0.16.png,original,20.222548
0052_0.9_0.16.png,dcp,20.039029
0052_0.9_0.16.png,aodnet,20.210018
0053_0.9_0.12.png,original,20.549308
0053_0.9_0.12.png,dcp,20.473923
0053_0.9_0.12.png,aodnet,20.604277
0054_0.85_0.16.png,original,20.423760
0054_0.85_0.16.png,dcp,20.332700
0054_0.85_0.16.png,aodnet,20.463947
0055_0.85_0.12.png,original,20.123773
0055_0.85_0.12.png,dcp,20.202543
0055_0.85_0.12.png,aodnet,20.213125
0056_0.8_0.16.png,original,20.545653
0056_0.8_0.16.png,dcp,20.535314
0056_0.8_0.16.png,aodnet,20.648085
0057_0.8_0.12.png,original,19.576079
0057_0.8_0.12.png,dcp,19.042246
0057_0.8_0.12.png,aodnet,19.376739
0058_0.8_0.2.png,original,20.096737
0058_0.8_0.2.png,dcp,19.459051
0058_0.8_0.2.png,aodnet,20.075235
0059_0.9_0.12.png,original,20.554125
0059_0.9_0.12.png,dcp,20.010852
0059_0.9_0.12.png,aodnet,20.715008
0060_0.9_0.2.png,original,20.372373
0060_0.9_0.2.png,dcp,20.189001
0060_0.9_0.2.png,aodnet,20.561524
0061_0.8_0.2.png,original,20.221802
0061_0.8_0.2.png,dcp,20.390681
0061_0.8_0.2.png,aodnet,20.503313
0062_0.9_0.2.png,original,20.405262
0062_0.9_0.2.png,dcp,20.248055
0062_0.9_0.2.png,aodnet,20.584410
0063_0.8_0.16.png,original,21.140770
0063_0.8_0.16.png,dcp,21.028607
0063_0.8_0.16.png,aodnet,21.332404
0064_0.8_0.2.png,original,21.642946
0064_0.8_0.2.png,dcp,21.026593
0064_0.8_0.2.png,aodnet,21.922902
0065_0.9_0.12.png,original,19.772710
0065_0.9_0.12.png,dcp,19.101017
0065_0.9_0.12.png,aodnet,19.742349
0066_1_0.08.png,original,21.175676
0066_1_0.08.png,dcp,20.355007
0066_1_0.08.png,aodnet,20.644582
0068_1_0.16.png,original,20.022782
0068_1_0.16.png,dcp,19.792953
0068_1_0.16.png,aodnet,20.079381
0069_0.9_0.16.png,original,20.877092
0069_0.9_0.16.png,dcp,20.463709
0069_0.9_0.16.png,aodnet,21.171814
0070_0.9_0.12.png,original,19.964738
0070_0.9_0.12.png,dcp,19.818197
0070_0.9_0.12.png,aodnet,20.001391
0071_0.8_0.2.png,original,19.882736
0071_0.8_0.2.png,dcp,19.249183
0071_0.8_0.2.png,aodnet,19.857657
0072_0.9_0.2.png,original,21.029536
0072_0.9_0.2.png,dcp,20.891034
0072_0.9_0.2.png,aodnet,20.836757
0073_0.8_0.16.png,original,20.216243
0073_0.8_0.16.png,dcp,19.699003
0073_0.8_0.16.png,aodnet,20.270322
0074_0.8_0.2.png,original,20.277232
0074_0.8_0.2.png,dcp,20.135877
0074_0.8_0.2.png,aodnet,20.359758
0075_0.8_0.2.png,original,20.206181
0075_0.8_0.2.png,dcp,19.377029
0075_0.8_0.2.png,aodnet,20.221257
0076_0.8_0.2.png,original,20.514921
0076_0.8_0.2.png,dcp,20.246528
0076_0.8_0.2.png,aodnet,20.676609
0076_1_0.16.png,original,20.438976
0076_1_0.16.png,dcp,20.123930
0076_1_0.16.png,aodnet,20.638830
0077_0.8_0.2.png,original,20.904678
0077_0.8_0.2.png,dcp,20.283016
0077_0.8_0.2.png,aodnet,20.771048
0079_0.8_0.12.png,original,20.149811
0079_0.8_0.12.png,dcp,19.913321
0079_0.8_0.12.png,aodnet,20.245537
0081_0.8_0.2.png,original,20.301759
0081_0.8_0.2.png,dcp,20.236670
0081_0.8_0.2.png,aodnet,20.393151
0082_0.85_0.16.png,original,20.398308
0082_0.85_0.16.png,dcp,20.298756
0082_0.85_0.16.png,aodnet,20.528323
0083_0.85_0.12.png,original,20.389004
0083_0.85_0.12.png,dcp,20.310250
0083_0.85_0.12.png,aodnet,20.505761
0084_0.95_0.16.png,original,19.711779
0084_0.95_0.16.png,dcp,19.306706
0084_0.95_0.16.png,aodnet,19.639789
0085_0.95_0.08.png,original,20.406592
0085_0.95_0.08.png,dcp,20.073978
0085_0.95_0.08.png,aodnet,20.659085
0086_0.8_0.2.png,original,20.281685
0086_0.8_0.2.png,dcp,19.929968
0086_0.8_0.2.png,aodnet,20.583119
0086_0.95_0.12.png,original,20.006949
0086_0.95_0.12.png,dcp,19.653812
0086_0.95_0.12.png,aodnet,20.312415
0087_0.9_0.16.png,original,20.135292
0087_0.9_0.16.png,dcp,19.567954
0087_0.9_0.16.png,aodnet,20.028120
0088_0.9_0.12.png,original,20.960277
0088_0.9_0.12.png,dcp,21.010959
0088_0.9_0.12.png,aodnet,21.088147
0089_0.9_0.2.png,original,20.749405
0089_0.9_0.2.png,dcp,20.112611
0089_0.9_0.2.png,aodnet,20.545133
0090_0.85_0.12.png,original,20.882940
0090_0.85_0.12.png,dcp,20.755486
0090_0.85_0.12.png,aodnet,21.117075
0091_0.85_0.2.png,original,20.240358
0091_0.85_0.2.png,dcp,19.860113
0091_0.85_0.2.png,aodnet,20.224625
0092_0.85_0.2.png,original,19.696458
0092_0.85_0.2.png,dcp,19.086567
0092_0.85_0.2.png,aodnet,19.606780
0093_0.8_0.08.png,original,20.328424
0093_0.8_0.08.png,dcp,20.240020
0093_0.8_0.08.png,aodnet,20.480499
0094_0.8_0.2.png,original,20.599888
0094_0.8_0.2.png,dcp,20.100121
0094_0.8_0.2.png,aodnet,20.519773
0095_0.8_0.08.png,original,20.529154
0095_0.8_0.08.png,dcp,20.328400
0095_0.8_0.08.png,aodnet,20.731612
0096_0.8_0.2.png,original,20.252121
0096_0.8_0.2.png,dcp,20.002114
0096_0.8_0.2.png,aodnet,20.534412
0097_0.85_0.08.png,original,20.473038
0097_0.85_0.08.png,dcp,20.201621
0097_0.85_0.08.png,aodnet,20.488487
0098_0.85_0.2.png,original,20.055011
0098_0.85_0.2.png,dcp,19.679832
0098_0.85_0.2.png,aodnet,20.149296
0099_0.9_0.16.png,original,19.483647
0099_0.9_0.16.png,dcp,18.707841
0099_0.9_0.16.png,aodnet,19.441804
0100_0.9_0.12.png,original,20.907827
0100_0.9_0.12.png,dcp,20.787840
0100_0.9_0.12.png,aodnet,21.040597
0101_0.9_0.08.png,original,20.423111
0101_0.9_0.08.png,dcp,20.860306
0101_0.9_0.08.png,aodnet,20.578361
0102_0.85_0.12.png,original,20.662407
0102_0.85_0.12.png,dcp,20.350960
0102_0.85_0.12.png,aodnet,20.572546
0104_0.95_0.12.png,original,20.540136
0104_0.95_0.12.png,dcp,20.274267
0104_0.95_0.12.png,aodnet,20.739434
0105_0.95_0.2.png,original,21.755477
0105_0.95_0.2.png,dcp,21.099953
0105_0.95_0.2.png,aodnet,21.880362
0106_0.9_0.08.png,original,20.619367
0106_0.9_0.08.png,dcp,20.187425
0106_0.9_0.08.png,aodnet,20.902080
0107_0.9_0.08.png,original,20.284450
0107_0.9_0.08.png,dcp,20.322034
0107_0.9_0.08.png,aodnet,20.355053
0108_0.8_0.16.png,original,20.671112
0108_0.8_0.16.png,dcp,20.519297
0108_0.8_0.16.png,aodnet,20.613056
0108_1_0.2.png,original,20.704305
0108_1_0.2.png,dcp,20.422968
0108_1_0.2.png,aodnet,20.609618
0109_0.85_0.08.png,original,20.475668
0109_0.85_0.08.png,dcp,20.959051
0109_0.85_0.08.png,aodnet,20.861243
0110_0.8_0.12.png,original,20.285376
0110_0.8_0.12.png,dcp,19.815457
0110_0.8_0.12.png,aodnet,20.211281
0111_0.8_0.2.png,original,20.556546
0111_0.8_0.2.png,dcp,20.285525
0111_0.8_0.2.png,aodnet,20.783098
0112_0.8_0.2.png,original,20.179810
0112_0.8_0.2.png,dcp,19.719018
0112_0.8_0.2.png,aodnet,20.141630
0113_0.9_0.08.png,original,20.908290
0113_0.9_0.08.png,dcp,20.925489
0113_0.9_0.08.png,aodnet,21.436190
0115_0.8_0.12.png,original,20.623087
0115_0.8_0.12.png,dcp,20.428754
0115_0.8_0.12.png,aodnet,20.550042
0116_0.9_0.16.png,original,20.714845
0116_0.9_0.16.png,dcp,20.622109
0116_0.9_0.16.png,aodnet,20.802456
0117_0.9_0.12.png,original,20.495403
0117_0.9_0.12.png,dcp,19.845661
0117_0.9_0.12.png,aodnet,20.493653
0118_0.9_0.2.png,original,20.474475
0118_0.9_0.2.png,dcp,20.208524
0118_0.9_0.2.png,aodnet,20.595469
0119_0.85_0.12.png,original,20.378169
0119_0.85_0.12.png,dcp,20.199895
0119_0.85_0.12.png,aodnet,20.645554
0120_0.85_0.08.png,original,20.074498
0120_0.85_0.08.png,dcp,19.894574
0120_0.85_0.08.png,aodnet,20.114852
0121_0.85_0.2.png,original,20.194639
0121_0.85_0.2.png,dcp,19.984374
0121_0.85_0.2.png,aodnet,20.381019
0123_1_0.08.png,original,20.042890
0123_1_0.08.png,dcp,19.487818
0123_1_0.08.png,aodnet,20.283604
0125_0.8_0.12.png,original,20.254634
0125_0.8_0.12.png,dcp,20.134814
0125_0.8_0.12.png,aodnet,20.278503
0126_0.8_0.2.png,original,20.584194
0126_0.8_0.2.png,dcp,20.632730
0126_0.8_0.2.png,aodnet,20.564787
0127_0.8_0.2.png,original,20.608153
0127_0.8_0.2.png,dcp,20.341083
0127_0.8_0.2.png,aodnet,20.582381
0129_0.8_0.16.png,original,19.874916
0129_0.8_0.16.png,dcp,19.216927
0129_0.8_0.16.png,aodnet,19.887702
0131_0.95_0.08.png,original,20.550649
0131_0.95_0.08.png,dcp,20.649793
0131_0.95_0.08.png,aodnet,20.857719
0132_1_0.08.png,original,20.819776
0132_1_0.08.png,dcp,20.695354
0132_1_0.08.png,aodnet,20.881090
0133_1_0.2.png,original,20.707506
0133_1_0.2.png,dcp,20.654629
0133_1_0.2.png,aodnet,20.870160
0134_0.95_0.16.png,original,21.113729
0134_0.95_0.16.png,dcp,20.436566
0134_0.95_0.16.png,aodnet,21.325715
0135_0.95_0.12.png,original,20.542199
0135_0.95_0.12.png,dcp,20.449726
0135_0.95_0.12.png,aodnet,21.169998
0137_0.8_0.2.png,original,20.169120
0137_0.8_0.2.png,dcp,19.154443
0137_0.8_0.2.png,aodnet,20.276679
0138_0.9_0.08.png,original,20.089514
0138_0.9_0.08.png,dcp,19.756947
0138_0.9_0.08.png,aodnet,20.130236
0139_0.85_0.12.png,original,20.349372
0139_0.85_0.12.png,dcp,20.253150
0139_0.85_0.12.png,aodnet,20.382224
0140_0.95_0.12.png,original,20.564596
0140_0.95_0.12.png,dcp,20.094093
0140_0.95_0.12.png,aodnet,20.387575
0141_0.95_0.12.png,original,20.300443
0141_0.95_0.12.png,dcp,19.887698
0141_0.95_0.12.png,aodnet,20.400287
0142_0.95_0.08.png,original,20.357884
0142_0.95_0.08.png,dcp,20.012007
0142_0.95_0.08.png,aodnet,20.885871
0143_1_0.2.png,original,20.741346
0143_1_0.2.png,dcp,20.316240
0143_1_0.2.png,aodnet,20.914929
0145_0.8_0.12.png,original,20.823044
0145_0.8_0.12.png,dcp,20.590682
0145_0.8_0.12.png,aodnet,20.962277
0146_0.8_0.2.png,original,20.716314
0146_0.8_0.2.png,dcp,20.419497
0146_0.8_0.2.png,aodnet,20.933994
0147_1_0.16.png,original,20.412619
0147_1_0.16.png,dcp,20.287948
0147_1_0.16.png,aodnet,20.658829
0148_0.9_0.12.png,original,20.858660
0148_0.9_0.12.png,dcp,20.573338
0148_0.9_0.12.png,aodnet,20.980027
0149_0.9_0.08.png,original,20.893952
0149_0.9_0.08.png,dcp,20.166842
0149_0.9_0.08.png,aodnet,20.785490
0150_0.8_0.16.png,original,20.094468
0150_0.8_0.16.png,dcp,19.657754
0150_0.8_0.16.png,aodnet,20.235206
0151_0.8_0.08.png,original,20.919118
0151_0.8_0.08.png,dcp,20.478503
0151_0.8_0.08.png,aodnet,21.032114
0152_0.8_0.2.png,original,20.689387
0152_0.8_0.2.png,dcp,20.099734
0152_0.8_0.2.png,aodnet,20.426163
0153_0.8_0.08.png,original,20.350203
0153_0.8_0.08.png,dcp,20.296559
0153_0.8_0.08.png,aodnet,20.403045
0154_0.8_0.2.png,original,20.525595
0154_0.8_0.2.png,dcp,20.581092
0154_0.8_0.2.png,aodnet,20.673132
0155_1_0.08.png,original,20.744259
0155_1_0.08.png,dcp,20.543696
0155_1_0.08.png,aodnet,20.877213
0157_0.8_0.08.png,original,20.394169
0157_0.8_0.08.png,dcp,20.341819
0157_0.8_0.08.png,aodnet,20.920177
0158_0.8_0.2.png,original,20.483633
0158_0.8_0.2.png,dcp,20.269074
0158_0.8_0.2.png,aodnet,20.778849
0160_0.9_0.2.png,original,20.600986
0160_0.9_0.2.png,dcp,20.478902
0160_0.9_0.2.png,aodnet,20.630842
0161_0.85_0.08.png,original,20.636012
0161_0.85_0.08.png,dcp,20.602763
0161_0.85_0.08.png,aodnet,20.653477
0162_0.95_0.12.png,original,20.874624
0162_0.95_0.12.png,dcp,20.481693
0162_0.95_0.12.png,aodnet,21.012396
0163_0.95_0.08.png,original,20.354332
0163_0.95_0.08.png,dcp,20.027565
0163_0.95_0.08.png,aodnet,20.400030
0164_0.9_0.2.png,original,20.437672
0164_0.9_0.2.png,dcp,20.516139
0164_0.9_0.2.png,aodnet,20.512506
0165_0.9_0.2.png,original,20.506870
0165_0.9_0.2.png,dcp,19.815356
0165_0.9_0.2.png,aodnet,20.667768
0166_0.8_0.16.png,original,20.564416
0166_0.8_0.16.png,dcp,20.732238
0166_0.8_0.16.png,aodnet,20.722609
0167_0.8_0.12.png,original,20.970675
0167_0.8_0.12.png,dcp,20.702021
0167_0.8_0.12.png,aodnet,21.114933
0168_0.9_0.16.png,original,20.660396
0168_0.9_0.16.png,dcp,20.632008
0168_0.9_0.16.png,aodnet,20.848281
0169_0.9_0.12.png,original,20.684570
0169_0.9_0.12.png,dcp,20.695102
0169_0.9_0.12.png,aodnet,20.988963
0170_0.8_0.2.png,original,20.634988
0170_0.8_0.2.png,dcp,20.646527
0170_0.8_0.2.png,aodnet,21.012353
0171_0.85_0.12.png,original,19.984836
0171_0.85_0.12.png,dcp,19.747642
0171_0.85_0.12.png,aodnet,20.822873
0172_0.85_0.08.png,original,20.469057
0172_0.85_0.08.png,dcp,20.000304
0172_0.85_0.08.png,aodnet,20.299645
0174_0.95_0.08.png,original,19.830872
0174_0.95_0.08.png,dcp,19.132370
0174_0.95_0.08.png,aodnet,19.708156
0175_0.85_0.16.png,original,20.714884
0175_0.85_0.16.png,dcp,20.584284
0175_0.85_0.16.png,aodnet,20.695476
0176_1_0.08.png,original,20.559942
0176_1_0.08.png,dcp,20.513619
0176_1_0.08.png,aodnet,20.711921
0178_0.8_0.12.png,original,20.438783
0178_0.8_0.12.png,dcp,20.137908
0178_0.8_0.12.png,aodnet,20.502140
0179_0.8_0.2.png,original,20.712561
0179_0.8_0.2.png,dcp,20.350857
0179_0.8_0.2.png,aodnet,20.740955
0180_0.85_0.16.png,original,20.152422
0180_0.85_0.16.png,dcp,19.415699
0180_0.85_0.16.png,aodnet,20.235503
0181_0.9_0.08.png,original,19.895524
0181_0.9_0.08.png,dcp,19.709348
0181_0.9_0.08.png,aodnet,20.087946
0182_0.8_0.16.png,original,20.521932
0182_0.8_0.16.png,dcp,19.976976
0182_0.8_0.16.png,aodnet,20.556973
0183_0.8_0.16.png,original,20.846002
0183_0.8_0.16.png,dcp,20.561489
0183_0.8_0.16.png,aodnet,21.268841
0184_0.95_0.12.png,original,20.234609
0184_0.95_0.12.png,dcp,19.525347
0184_0.95_0.12.png,aodnet,20.145831
0185_1_0.16.png,original,20.498360
0185_1_0.16.png,dcp,20.296468
0185_1_0.16.png,aodnet,20.624008
0187_0.9_0.2.png,original,21.061509
0187_0.9_0.2.png,dcp,20.973350
0187_0.9_0.2.png,aodnet,21.177649
0188_0.85_0.08.png,original,20.253320
0188_0.85_0.08.png,dcp,19.932336
0188_0.85_0.08.png,aodnet,20.357616
0189_0.85_0.2.png,original,20.731198
0189_0.85_0.2.png,dcp,20.387046
0189_0.85_0.2.png,aodnet,20.670850
0191_1_0.08.png,original,19.991045
0191_1_0.08.png,dcp,19.768165
0191_1_0.08.png,aodnet,20.124866
0194_1_0.2.png,original,20.493977
0194_1_0.2.png,dcp,20.381660
0194_1_0.2.png,aodnet,20.635494
0195_1_0.08.png,original,20.435854
0195_1_0.08.png,dcp,20.276296
0195_1_0.08.png,aodnet,20.759751
0196_0.9_0.2.png,original,20.580671
0196_0.9_0.2.png,dcp,20.200572
0196_0.9_0.2.png,aodnet,20.550686
0197_0.8_0.16.png,original,20.563912
0197_0.8_0.16.png,dcp,20.702534
0197_0.8_0.16.png,aodnet,20.779704
0198_0.95_0.12.png,original,20.411950
0198_0.95_0.12.png,dcp,19.981481
0198_0.95_0.12.png,aodnet,20.273430
0199_1_0.16.png,original,20.780570
